State,make,model,index
WY,CHRYSLER,300 - SERIES,0
AK,BMW,3-SERIES,0
AL,BMW,3-SERIES,0
AR,BMW,3-SERIES,3.93
AZ,BMW,3-SERIES,0
CA,BMW,3-SERIES,4.23
CO,BMW,3-SERIES,23
CT,BMW,3-SERIES,6.21
DC,BMW,3-SERIES,0
DE,BMW,3-SERIES,0
FL,BMW,3-SERIES,0.38
GA,BMW,3-SERIES,3.73
HI,BMW,3-SERIES,0
IA,BMW,3-SERIES,0
ID,BMW,3-SERIES,0
IL,BMW,3-SERIES,2.14
IN,BMW,3-SERIES,0
KS,BMW,3-SERIES,0
KY,BMW,3-SERIES,0
LA,BMW,3-SERIES,0
MA,BMW,3-SERIES,0
MD,BMW,3-SERIES,2.18
ME,BMW,3-SERIES,0
MI,BMW,3-SERIES,0
MN,BMW,3-SERIES,0
MO,BMW,3-SERIES,0
MS,BMW,3-SERIES,0
MT,BMW,3-SERIES,0
NC,BMW,3-SERIES,12.86
ND,BMW,3-SERIES,0
NE,BMW,3-SERIES,12.38
NH,BMW,3-SERIES,5.8
NJ,BMW,3-SERIES,0
NM,BMW,3-SERIES,3.42
NV,BMW,3-SERIES,12.34
NY,BMW,3-SERIES,0
OH,BMW,3-SERIES,0
OK,BMW,3-SERIES,0
OR,BMW,3-SERIES,0
PA,BMW,3-SERIES,3.08
RI,BMW,3-SERIES,0
SC,BMW,3-SERIES,14.91
SD,BMW,3-SERIES,0
TN,BMW,3-SERIES,0
TX,BMW,3-SERIES,4.18
UT,BMW,3-SERIES,0
VA,BMW,3-SERIES,0
VT,BMW,3-SERIES,0
WA,BMW,3-SERIES,0
WI,BMW,3-SERIES,0
WV,BMW,3-SERIES,0
WY,BMW,3-SERIES,0
AK,TOYOTA,4RUNNER,0
AL,TOYOTA,4RUNNER,0
AR,TOYOTA,4RUNNER,6.38
AZ,TOYOTA,4RUNNER,5.25
CA,TOYOTA,4RUNNER,1.08
CO,TOYOTA,4RUNNER,4.74
CT,TOYOTA,4RUNNER,0
DC,TOYOTA,4RUNNER,0
DE,TOYOTA,4RUNNER,0
FL,TOYOTA,4RUNNER,2.38
GA,TOYOTA,4RUNNER,1.47
HI,TOYOTA,4RUNNER,0
IA,TOYOTA,4RUNNER,0.64
ID,TOYOTA,4RUNNER,0.99
IL,TOYOTA,4RUNNER,0.82
IN,TOYOTA,4RUNNER,0
KS,TOYOTA,4RUNNER,0.63
KY,TOYOTA,4RUNNER,9.45
LA,TOYOTA,4RUNNER,5.27
MA,TOYOTA,4RUNNER,0
MD,TOYOTA,4RUNNER,0
ME,TOYOTA,4RUNNER,0.28
MI,TOYOTA,4RUNNER,0.5
MN,TOYOTA,4RUNNER,1.3
MO,TOYOTA,4RUNNER,4.58
MS,TOYOTA,4RUNNER,0
MT,TOYOTA,4RUNNER,2.83
NC,TOYOTA,4RUNNER,0
ND,TOYOTA,4RUNNER,0
NE,TOYOTA,4RUNNER,4.49
NH,TOYOTA,4RUNNER,0.75
NJ,TOYOTA,4RUNNER,0.71
NM,TOYOTA,4RUNNER,1.95
NV,TOYOTA,4RUNNER,1.75
NY,TOYOTA,4RUNNER,0
OH,TOYOTA,4RUNNER,0
OK,TOYOTA,4RUNNER,1.99
OR,TOYOTA,4RUNNER,2.29
PA,TOYOTA,4RUNNER,0
RI,TOYOTA,4RUNNER,0
SC,TOYOTA,4RUNNER,2.5
SD,TOYOTA,4RUNNER,0
TN,TOYOTA,4RUNNER,2.36
TX,TOYOTA,4RUNNER,2.65
UT,TOYOTA,4RUNNER,2.74
VA,TOYOTA,4RUNNER,0
VT,TOYOTA,4RUNNER,0.38
WA,TOYOTA,4RUNNER,8.14
WI,TOYOTA,4RUNNER,0
WV,TOYOTA,4RUNNER,0.53
WY,TOYOTA,4RUNNER,0
AK,BMW,4-SERIES,0
AL,BMW,4-SERIES,0
AR,BMW,4-SERIES,4.1
AZ,BMW,4-SERIES,0
CA,BMW,4-SERIES,1.93
CO,BMW,4-SERIES,0
CT,BMW,4-SERIES,15.28
DC,BMW,4-SERIES,0
DE,BMW,4-SERIES,0
FL,BMW,4-SERIES,0.69
GA,BMW,4-SERIES,14.55
HI,BMW,4-SERIES,0
IA,BMW,4-SERIES,0
ID,BMW,4-SERIES,0
IL,BMW,4-SERIES,18.33
IN,BMW,4-SERIES,0
KS,BMW,4-SERIES,0
KY,BMW,4-SERIES,0
LA,BMW,4-SERIES,0
MA,BMW,4-SERIES,0
MD,BMW,4-SERIES,8.38
ME,BMW,4-SERIES,0
MI,BMW,4-SERIES,0
MN,BMW,4-SERIES,0
MO,BMW,4-SERIES,0
MS,BMW,4-SERIES,0
MT,BMW,4-SERIES,0
NC,BMW,4-SERIES,8.11
ND,BMW,4-SERIES,0
NE,BMW,4-SERIES,5.9
NH,BMW,4-SERIES,2.15
NJ,BMW,4-SERIES,0
NM,BMW,4-SERIES,1.62
NV,BMW,4-SERIES,0
NY,BMW,4-SERIES,0
OH,BMW,4-SERIES,0
OK,BMW,4-SERIES,0
OR,BMW,4-SERIES,0
PA,BMW,4-SERIES,2.05
RI,BMW,4-SERIES,0
SC,BMW,4-SERIES,0
SD,BMW,4-SERIES,0
